date;category;sales;customer_type;rg_code_current;create_sale
2022-02-01;MA002;18988;B2C;MP_OZ;5
2022-02-01;MA004;9809;B2C;MP_WB;6
2022-02-01;MA005;30075;B2B;MP_OZ;3
2022-02-01;MA007;14018;B2C;MP_OZ;8
2022-02-01;MA009;13225;B2C;MP_WB;4
2022-02-01;MA010;13144;B2C;B2C_CL;10
2022-02-01;MA011;35323;B2B;MP_YM;9
2022-02-01;MA014;377;B2B;MP_WB;5
2022-02-01;MA015;25929;B2B;MP_OZ;10
2022-02-01;MA017;37165;B2B;B2C_CL;2
2022-02-01;MA019;44286;B2B;B2C_CL;0
2022-02-01;MA020;14193;B2C;MP_OZ;5
2022-02-01;MA021;49258;B2C;MP_RT;0
2022-02-01;MA022;7683;B2B;MP_RT;7
2022-02-01;MA025;23603;B2B;MP_YM;4
2022-02-01;MA026;17917;B2C;MP_YM;5
2022-02-01;MA029;11382;B2C;MP_RT;3
2022-02-01;MA030;13280;B2B;B2C_CL;9
2022-02-01;MA031;21071;B2C;MP_RT;0
2022-02-01;MA032;4512;B2C;MP_OZ;7
2022-02-01;MA033;9323;B2C;MP_YM;7
2022-02-01;MA037;28618;B2C;B2C_CL;8
2022-02-01;MA039;32842;B2C;ДКП;1
2022-02-01;MA040;38509;B2B;MP_OZ;5
2022-02-01;MA041;46968;B2B;B2C_CL;0
2022-02-01;MA042;48188;B2B;MP_RT;4
2022-02-01;MA043;4711;B2B;ДКП;9
2022-02-01;MA044;14186;B2C;MP_RT;9
2022-02-01;MA045;47516;B2C;ДКП;7
2022-02-01;MA046;15150;B2C;MP_WB;4
2022-02-01;MA047;22682;B2C;MP_WB;9
2022-02-01;MA048;27203;B2C;MP_OZ;5
2022-02-01;MA049;17013;B2B;MP_YM;1
2022-02-01;MA050;49243;B2C;MP_WB;1
2022-02-01;MA051;25899;B2C;MP_OZ;4
2022-02-01;MA052;17172;B2B;ДКП;7
2022-02-01;MA053;20591;B2C;MP_WB;8
2022-02-01;MA054;17984;B2B;MP_OZ;8
2022-02-01;MA055;14150;B2B;ДКП;10
2022-02-01;MA056;47946;B2B;MP_RT;8
2022-02-01;MA057;44215;B2B;ДКП;0
2022-02-01;MA058;22524;B2C;ДКП;7
2022-02-01;MA059;24586;B2B;MP_YM;1
2022-02-01;MA061;21896;B2B;B2C_CL;8
2022-02-01;MA062;20416;B2B;MP_OZ;2
2022-02-01;MA063;33268;B2C;MP_RT;2
2022-02-01;MA064;35404;B2B;MP_RT;3
2022-02-01;MA065;25249;B2B;B2C_CL;1
2022-02-01;MA066;32523;B2C;B2C_CL;2
2022-02-01;MA067;7715;B2C;ДКП;5
2022-02-01;MA068;43696;B2C;MP_YM;9
2022-02-01;MA069;8779;B2C;B2C_CL;0
2022-02-01;MA070;21113;B2C;B2C_CL;5
2022-02-01;MA071;10912;B2B;MP_RT;6
2022-02-01;MA072;2673;B2C;MP_OZ;8
2022-02-01;MA073;25707;B2C;MP_RT;10
2022-02-01;MA076;7977;B2C;ДКП;0
2022-02-01;MA077;34787;B2B;MP_RT;1
2022-02-01;MA078;10085;B2C;MP_WB;1
2022-02-02;MA002;27151;B2B;MP_RT;3
2022-02-02;MA004;42938;B2B;MP_WB;2
2022-02-02;MA005;31959;B2C;MP_OZ;7
2022-02-02;MA007;18165;B2B;MP_OZ;7
2022-02-02;MA009;15916;B2B;MP_WB;10
2022-02-02;MA010;4783;B2B;B2C_CL;5
2022-02-02;MA011;13236;B2B;MP_RT;1
2022-02-02;MA014;232;B2C;ДКП;2
2022-02-02;MA015;32735;B2B;MP_YM;10
2022-02-02;MA017;48610;B2C;MP_YM;8
2022-02-02;MA019;46309;B2C;B2C_CL;5
2022-02-02;MA020;29422;B2B;MP_WB;6
2022-02-02;MA021;12903;B2B;MP_YM;7
2022-02-02;MA022;1924;B2C;B2C_CL;2
2022-02-02;MA025;29413;B2B;MP_OZ;6
2022-02-02;MA026;5629;B2B;ДКП;4
2022-02-02;MA029;34126;B2B;MP_RT;7
2022-02-02;MA030;20032;B2B;MP_OZ;4
2022-02-02;MA031;20718;B2B;MP_WB;3
2022-02-02;MA032;32330;B2B;ДКП;2
2022-02-02;MA033;1327;B2C;MP_RT;10
2022-02-02;MA037;42795;B2C;B2C_CL;8
2022-02-02;MA039;32475;B2B;MP_YM;3
2022-02-02;MA040;49693;B2C;MP_WB;1
2022-02-02;MA041;11376;B2B;MP_YM;3
2022-02-02;MA042;7155;B2C;B2C_CL;8
2022-02-02;MA043;22943;B2B;MP_OZ;8
2022-02-02;MA044;26268;B2C;ДКП;3
2022-02-02;MA045;3653;B2C;MP_OZ;7
2022-02-02;MA046;43736;B2B;ДКП;7
2022-02-02;MA047;15354;B2C;MP_YM;2
2022-02-02;MA048;12498;B2C;MP_RT;7
2022-02-02;MA049;27042;B2B;MP_YM;8
2022-02-02;MA050;29857;B2B;MP_YM;0
2022-02-02;MA051;26815;B2C;MP_RT;8
2022-02-02;MA052;21190;B2C;B2C_CL;0
2022-02-02;MA053;23219;B2B;B2C_CL;4
2022-02-02;MA054;39282;B2C;MP_WB;4
2022-02-02;MA055;35219;B2C;ДКП;9
2022-02-02;MA056;23007;B2C;B2C_CL;2
2022-02-02;MA057;43284;B2C;MP_OZ;6
2022-02-02;MA058;45620;B2C;MP_WB;2
2022-02-02;MA059;29402;B2B;MP_RT;3
2022-02-02;MA061;26677;B2C;ДКП;1
2022-02-02;MA062;42475;B2B;MP_WB;10
2022-02-02;MA063;17574;B2C;MP_OZ;7
2022-02-02;MA064;31600;B2C;B2C_CL;8
2022-02-02;MA065;16191;B2C;MP_OZ;5
2022-02-02;MA066;36187;B2C;MP_OZ;3
2022-02-02;MA067;38711;B2C;ДКП;6
2022-02-02;MA068;5124;B2B;MP_OZ;5
2022-02-02;MA069;49325;B2B;MP_WB;5
2022-02-02;MA070;21803;B2C;MP_WB;9
